scrape_timestamp,keyword,listing_id,title,price_amount,price_currency,num_favorers,views,shop_id,tags,url,review_count,avg_review_rating,latest_review_date,shop_name,shop_total_sales,shop_review_average,shop_review_count,shop_favorers,shop_active_listings
2026-09-05_17-17-16,scored winning goal gift,1112937151,Will Grigg Winning Goal - Wigan Athletic 1 Man City 0 - FA Cup 5th Round 2018 - Classic Book Cover Print - Football Gift (Various Sizes),4.0,GBP,2,130,6851866,Will Grigg Goal|Will Grigg v City|Will Griggs on Fire|Wigan 1 Man City 0|Wigan FA Cup Goal|Wigan Grigg Goal|Wigan Grigg Winner|Wigan 1 - 0|Wigan Athletic Goal|Grigg FA Cup Goal|Grigg Winner v City|Grigg Scores|Grigg Goal v City,https://www.etsy.com/listing/1112937151/will-grigg-winning-goal-wigan-athletic-1,0,0,0,headfuzzbygrimboid,23845,4.89,3004,2519,867
2026-09-05_17-17-16,scored winning goal gift,1444860755,"Soccer Homecoming Proposal Sign, Score a Date to the Dance Poster, Digital PDF Files",5.99,USD,18,4922,11765751,School Dance Sign|Can I Score a Date|Soccer Player Sign|Sporty Promposal|It's my Goal|Soccer Homecoming|Ask Date Banner Sign|Punny Athlete Ask|Winning Promposal|Stadium Ask|Take a Shot Proposal|Kick It at HOCO|Printable PDF File,https://www.etsy.com/listing/1444860755/soccer-prom-proposal-sign-score-a-date,0,0,0,NvitesGraphicDesign,24339,4.95,2229,770,331
2026-09-05_17-17-16,scored winning goal gift,899264132,Jimmy Glass winning goal for Carlisle United v Plymouth Argyle - Division Three 1999 - Book Cover Print - Football Fan Gift (Various Sizes),4.0,GBP,20,1607,6851866,The Cumbrians|Jimmy Glass Goal|Jimmy Glass Carlisle|Carlisle United Goal|Carlisle v Plymouth|Goalkeeper Goal|Goalkeeper Scores|Glass last minute|Carlisle last minute|Jimmy Glass Scores|Jimmy Glass Poster|Carlisle Glass|For The Sports Fan,https://www.etsy.com/listing/899264132/jimmy-glass-winning-goal-for-carlisle,0,0,0,headfuzzbygrimboid,23845,4.89,3004,2519,867
2026-09-05_17-17-16,scored winning goal gift,4512537369,"Personalized Hockey Dad Wooden Block, We Scored The Winning Goal Wood Sign, Dad Gift, Father’s Day Gift, Hockey Lover Gift, Sports Fan Gift",11.98,USD,2,70,46345166,Father's Day Gift|Gift For Dad|gift for grandpa|sports fan gift|scored the best dad|Gift From Kids|wooden figurine|family gift|custom hockey gift|hockey dad wooden|hockey coach gift|hockey dad|hockey lovers gift,https://www.etsy.com/listing/4512537369/personalized-hockey-dad-wooden-block-we,0,0,0,HaniMadebyHa,3424,4.27,361,241,445
